,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Saitama-shi,"44,632",867,230,231,887,178,204,517,912,944,877,"15,115","2,427","10,339","2,977",496,127,163,44,160,511,127,563,928,166,117,262,"1,119",594,91,35,43,41,189,310,83,56,76,69,45,721,59,80,145,72,66,129,240,-,"1,221","2,066","14,920",511,665,-,389,"8,580","1,138",697,201,243,150,109,516,182,355,98,183,114,182,106,405,96
Chiba-shi,"33,971",638,153,152,409,106,99,249,723,284,220,"1,606","14,441","7,007","2,403",244,51,93,31,82,234,92,407,674,86,89,205,768,404,61,31,28,30,153,208,82,39,95,99,37,477,24,87,94,78,79,117,202,-,852,"1,438","10,483",335,289,399,-,"5,831","1,083",558,161,124,111,73,356,151,248,65,151,67,122,91,216,52
Ku-area of Tokyo,"290,422","7,775","2,139","1,918","5,102","1,573","1,507","3,079","6,725","3,860","3,354","44,166","34,757","39,786","50,755","3,368","1,039","1,332",642,"1,951","4,113","1,325","6,380","8,848","1,291",911,"3,191","11,968","6,059","1,054",531,475,599,"1,655","3,104","1,222",621,"1,141","1,268",697,"7,648",665,"1,341","1,732","1,102","1,236","2,081","3,336",-,"11,464","22,272","91,428","4,509","3,728","8,391","4,276",-,"20,690","17,801","2,332","1,382","1,408","1,040","5,533","2,462","5,531",639,"2,096",948,"1,982",889,"4,680","1,111"
Yokohama-shi,"113,403","2,348",658,566,"1,655",397,449,894,"1,686","1,072",928,"5,313","5,876","30,690","32,991",918,321,452,165,558,"1,179",417,"2,839","3,281",647,413,"1,006","3,705","2,316",342,158,120,132,546,"1,167",401,131,222,335,173,"2,445",244,466,537,309,315,633,987,-,"4,345","7,369","53,342","1,316","1,184","1,282",940,"23,668",-,"12,842","2,968",428,640,442,"1,843",671,"1,212",222,813,279,647,386,"1,284",275
Kawasaki-shi,"66,755","1,064",333,368,841,229,235,468,828,548,417,"3,158","3,123","23,356","18,817",503,180,221,95,291,543,187,"1,209","1,516",254,164,405,"1,712",957,148,76,67,93,282,464,220,64,148,156,107,"1,118",119,199,271,205,176,339,481,-,"1,957","3,222","38,228",655,594,774,464,"16,689","13,648",-,"1,268",217,261,180,845,287,613,107,311,156,252,133,627,147
Sagamihara-shi,"24,046",326,126,99,278,66,83,154,324,216,183,"1,051",911,"8,127","7,973",174,46,83,25,264,241,83,484,473,72,59,156,390,230,34,17,27,18,74,119,61,31,44,41,37,283,35,59,84,47,70,130,138,-,628,810,"8,842",128,161,182,139,"3,311","2,581","1,276",-,65,98,54,227,88,123,20,70,38,62,63,115,41
Niigata-shi,"17,817",344,56,90,513,155,246,404,192,185,372,"1,211",791,"2,835","1,218","5,986",265,347,58,68,453,65,183,347,64,45,146,362,139,31,22,8,8,49,76,17,11,35,29,15,196,14,31,18,20,13,32,52,"6,055",476,678,"4,936",177,376,365,160,"2,102",574,310,65,-,56,29,201,94,119,38,36,29,40,42,109,14
Shizuoka-shi,"17,232",261,31,53,189,42,45,75,133,115,88,586,670,"2,515","1,693",122,62,108,31,158,170,173,"5,724","1,769",189,82,178,513,317,75,44,24,27,50,139,45,29,31,45,26,240,19,39,46,41,40,75,105,"5,464","2,131","1,083","6,306",133,146,157,105,"1,924",783,319,101,67,-,948,924,128,167,32,96,18,73,51,115,19
Hamamatsu-shi,"17,271",285,94,39,134,36,26,69,145,111,86,610,512,"2,109","1,209",60,64,159,28,98,184,285,"5,149","2,881",321,94,230,478,261,72,43,55,14,74,104,74,23,24,40,26,330,26,64,87,38,181,56,183,"4,440","3,487","1,041","5,593",110,62,113,93,"1,505",579,243,66,24,"1,026",-,"1,021",172,163,38,90,42,72,37,104,33
Nagoya-shi,"73,711",990,127,132,678,81,62,190,411,242,228,"2,002","2,197","8,680","4,064",267,436,802,350,136,888,"3,950","2,665","27,066","3,113",592,"1,079","3,969","1,851",379,173,68,94,350,681,220,104,256,275,127,"1,533",111,374,392,185,248,383,510,"16,943",-,"7,278","19,387",567,556,708,413,"6,911","2,126",986,207,150,794,840,-,796,"1,559",237,575,195,472,190,887,218
Kyoto-shi,"40,593",528,78,58,233,53,57,120,245,120,135,733,814,"4,037","1,329",189,225,340,364,57,301,317,509,"1,525",473,"4,288","7,333","7,167","2,674",866,394,174,167,522,640,259,197,285,311,206,916,70,173,237,164,151,308,251,"6,913","2,315",-,"11,532",281,170,200,137,"3,280",630,322,77,96,124,133,755,-,"2,767",306,931,255,344,147,453,124
Osaka-shi,"86,105",695,84,89,415,57,63,189,250,187,136,"1,453","1,610","8,722","2,639",182,281,487,371,95,278,422,615,"2,586",989,"1,302","3,611","31,170","10,959","3,451","1,280",471,386,"1,087","1,426",477,503,739,785,498,"1,977",166,375,447,294,346,731,729,"14,424","3,997",-,"25,096",395,301,396,234,"7,425","1,398",643,135,88,141,166,"1,547","2,190",-,"4,467","2,709",483,785,256,"1,113",224
Sakai-shi,"23,388",130,22,23,89,19,12,39,79,58,30,323,415,"1,401",623,49,58,75,55,20,75,71,166,536,280,271,525,"13,021","1,596",715,552,71,75,202,220,88,90,133,129,99,356,24,61,95,72,79,158,108,"2,762",887,-,"8,409",65,71,101,49,"1,094",312,143,25,30,41,40,273,290,"4,942",-,438,107,99,63,173,53
Kobe-shi,"40,597",381,57,51,201,17,23,81,194,118,100,700,864,"3,982","1,759",97,106,168,157,41,135,185,353,"1,343",269,507,"1,362","6,317","14,554",488,274,246,159,741,900,272,325,383,418,197,806,75,199,193,131,130,251,287,"7,305","1,797",-,"12,175",197,139,233,145,"3,212",900,428,74,48,96,93,724,932,"3,151",381,-,345,404,136,433,104
Okayama-shi,"21,087",161,22,31,93,10,17,51,109,47,50,399,382,"1,632",635,51,41,72,37,33,61,63,158,471,73,170,399,"1,627","1,358",124,80,363,295,"6,815","2,002",396,180,695,481,202,603,48,101,101,60,52,109,127,"3,048",607,"3,508","5,488",95,70,98,80,"1,207",309,146,42,20,53,45,233,269,646,117,454,-,"1,110",90,343,61
Hiroshima-shi,"35,077",260,26,23,252,13,32,61,142,84,80,815,843,"3,521","1,454",71,53,73,29,25,77,82,222,977,135,161,469,"2,362","1,472",161,64,487,"1,239","1,890","10,172","2,238",155,519,836,159,"2,072",132,180,283,173,144,206,153,"6,633","1,194","4,464","10,170",155,199,290,136,"2,768",731,376,83,42,57,77,593,349,952,124,482,"1,131",-,343,"1,121",161
Kitakyushu-shi,"26,484",166,20,14,133,14,13,52,137,66,40,471,660,"1,694",948,47,33,99,18,31,80,60,137,680,153,113,262,894,605,79,46,62,86,269,664,"1,281",30,138,136,38,"11,580",483,727,874,"1,038",439,602,272,"3,773",893,"1,840","8,726",80,98,127,94,"1,251",455,200,68,22,28,34,233,187,319,91,223,126,345,-,"4,233",512
Fukuoka-shi,"63,117",421,44,40,382,19,31,75,197,133,138,"1,402","1,538","6,939","2,927",96,84,153,36,57,106,115,292,"1,625",125,155,584,"3,146","1,345",163,82,65,123,419,"1,289","1,201",82,265,321,119,"21,366","2,139","3,129","3,061","2,112","1,453","2,585",938,"12,806","1,865","5,238","19,042",289,310,423,234,"5,621","1,559",800,138,60,63,84,967,442,"1,206",193,459,277,925,"3,127",-,"1,865"
Kumamoto-shi,"25,889",164,22,21,94,5,4,38,113,82,44,493,418,"1,918",884,24,38,44,12,46,42,52,169,476,84,81,243,647,406,68,19,32,37,119,315,228,19,66,88,49,"4,608",453,791,"9,022",813,913,"1,253",332,"3,713",612,"1,364","6,279",76,62,106,70,"1,456",408,196,41,15,35,34,191,194,220,40,118,70,193,492,"2,262",-
