,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 19 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Nagasaki-ken,"31,815",146,68,19,67,15,28,32,175,80,66,616,874,"2,538","1,834",59,40,63,45,45,88,119,309,"1,781",215,216,463,"1,247",787,142,56,71,69,286,995,674,67,149,137,77,"9,875","2,164",-,"1,702","1,053",614,"1,047",602,"5,862","2,115","2,639","12,013",47,54,135,107,"1,906",724,307,37,57,58,644,245,460,128,274,90,310,"1,039","5,391"
Kumamoto-ken,"34,781",258,49,41,110,25,66,50,218,135,109,824,"1,003","3,207","1,816",76,57,87,26,108,116,145,514,"1,788",377,255,479,"1,494",711,176,64,62,62,282,717,549,76,143,160,90,"9,345",817,"1,502",-,"1,687","1,630","2,718",557,"6,850","2,310","2,860","11,790",76,84,164,159,"2,264",723,447,22,93,110,607,332,570,120,209,97,348,"1,041","4,324"
Oita-ken,"23,473",152,33,7,70,22,19,25,234,73,68,508,638,"1,952","1,034",60,36,66,29,44,56,89,288,717,212,204,295,"1,087",559,118,48,45,67,264,513,470,33,92,330,91,"7,472",552,978,"1,617",-,"1,113",792,301,"4,132","1,018","2,059","8,298",71,50,141,86,"1,406",439,250,29,43,38,241,220,385,99,194,72,224,"1,354","2,956"
Miyazaki-ken,"23,982",169,48,33,112,25,18,45,274,126,54,583,747,"2,220","1,409",48,23,82,27,47,80,156,353,"1,295",191,274,382,"1,158",562,120,83,50,62,236,399,529,53,96,97,67,"4,110",315,527,"1,708","1,178",-,"3,446",365,"4,959","1,642","2,222","7,343",38,28,127,116,"1,561",581,332,21,79,112,347,236,447,106,188,80,164,597,"2,183"
Kagoshima-ken,"34,862",212,55,27,107,28,19,43,273,122,100,"1,073","1,160","3,720","2,147",81,61,54,52,63,93,182,433,"1,981",250,341,586,"2,281","1,046",196,98,61,100,294,594,517,76,143,139,75,"6,497",456,"1,040","2,646",859,"3,491",-,990,"8,100","2,413","4,109","11,738",62,60,198,186,"2,712",822,452,36,84,69,604,351,883,172,311,88,265,799,"3,584"
Okinawa-ken,"25,852",625,108,75,200,42,37,82,413,148,138,"1,256","1,496","4,595","2,446",117,106,126,42,67,205,346,627,"2,229",432,256,474,"1,651",800,139,74,68,49,255,415,286,91,136,135,77,"2,003",206,570,540,281,408,980,-,"9,793","3,007","3,064","9,593",277,123,219,215,"3,274","1,062",524,60,94,146,721,287,699,135,254,77,187,309,930
Tokyo Area,"388,412","23,941","7,745","6,167","15,441","5,026","4,964","10,848","30,470","15,645","14,613",-,-,-,-,"11,398","3,407","3,794","1,667","7,232","13,012","4,100","24,524","27,113","4,978","3,329","8,285","30,776","18,189","3,359","1,744","1,315","1,645","4,597","9,521","3,856","1,576","2,981","3,526","1,776","21,184","1,945","4,380","5,165","3,279","3,882","6,454","9,563",-,"36,191","60,609","95,497","12,278","10,469",-,-,-,-,-,"4,795","4,832","3,809","14,688","5,542","10,943","2,038","5,677","1,656","5,059","3,396","10,315"
Nagora Area,"136,449","4,636",882,635,"1,632",440,374,716,"1,608","1,433","1,082","6,108","7,190","20,976","11,834","1,087","1,660","2,410","1,239",623,"3,439",-,"10,783",-,-,"2,879","3,972","13,230","6,135","2,232","1,125",449,401,"1,309","2,322","1,041",501,789,943,642,"5,374",713,"1,700","1,751",912,"1,637","2,338","3,267","46,108",-,"25,569","50,106","1,778","1,047","1,609","1,086","15,471","5,714","2,540",440,"2,142","3,346",-,"2,599","4,638","1,234","1,873",405,"1,166",927,"2,091"
Osaka Area,"221,798","4,246",604,437,"1,748",348,379,767,"2,721","1,267","1,120","9,347","13,077","39,509","19,622","1,320","1,774","2,979","2,527",689,"1,966","2,605","4,628","16,140","6,351","13,961",-,-,-,-,"7,221","2,497","2,109","7,120","8,327","2,921","2,959","3,975","4,131","2,358","10,796","1,017","2,336","2,615","1,869","2,172","4,094","3,149","81,555","25,096",-,"77,358","2,030","1,299","2,697","1,971","30,802","9,963","4,751",642,"1,058","1,108","8,008",-,-,-,-,"2,168","3,996","1,688","5,177"
Total of 19 major cities,"1,163,245","49,265","6,525","6,629","23,117","4,799","5,734","9,587","16,833","9,893","8,260","91,170","89,133","174,024","143,842","14,018","3,976","5,346","2,812","4,367","10,144","8,650","30,903","61,822","9,612","10,476","22,199","94,643","50,656","8,716","4,361","2,803","3,781","13,091","24,854","9,211","2,757","5,451","5,982","2,809","56,322","4,682","8,690","8,996","6,940","6,052","9,624","9,688","124,359","43,746","64,185","354,666","10,567","9,028","15,834","10,275","98,786","52,244","41,276","3,721","5,594","4,938","17,805","9,402","23,353","7,945","10,400","3,169","7,916","6,534","15,879"
