,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Shimane-ken,"12,319",118,56,16,62,9,15,38,105,35,22,262,314,937,373,56,35,43,51,35,42,45,107,318,68,134,351,"1,205",722,117,38,"1,460",-,787,"2,375",687,56,119,154,50,450,44,64,84,67,64,83,46,"1,886",431,"2,395","4,678",37,21,64,46,691,174,87,10,27,39,23,143,228,561,49,238,405,"1,530",126,179
Okayama-ken,"30,089",288,33,44,131,37,32,57,246,89,83,692,906,"2,895","1,291",108,55,135,88,43,110,166,320,"1,100",192,319,838,"3,379","3,140",297,135,896,679,-,"5,007",823,303,"1,352",867,407,"1,110",106,183,235,235,183,219,235,"5,784","1,458","7,654","17,746",124,103,159,141,"2,041",550,341,39,41,68,77,469,584,"1,414",205,"1,047","7,682","1,989",261,411
Hiroshima-ken,"49,167",471,152,47,279,57,61,99,357,186,124,"1,367","1,828","5,702","3,161",145,118,156,91,76,137,173,529,"1,646",322,373,"1,229","4,647","2,980",435,157,818,"1,984","4,850",-,"4,320",421,"1,055","1,685",359,"3,390",275,811,531,386,356,461,360,"12,058","2,141","9,291","29,672",233,216,415,342,"4,295","1,324",721,97,82,140,145,851,773,"1,780",309,"1,051","2,226","12,414",708,"1,550"
Yamaguchi-ken,"25,927",204,52,26,106,21,33,38,199,92,60,665,832,"2,157","1,184",51,101,90,52,44,66,81,557,695,164,177,508,"1,622",908,139,38,275,639,924,"5,005",-,206,256,392,90,"4,729",219,541,361,388,260,355,325,"4,838",940,"3,177","11,280",62,64,118,101,"1,485",466,263,48,13,41,299,245,382,612,132,319,513,"2,879","1,586","1,652"
Tokushima-ken,"11,705",119,36,23,23,20,5,17,72,38,15,200,317,"1,090",493,37,22,36,26,18,33,45,141,333,98,110,389,"1,643","1,203",128,99,51,73,391,489,139,-,"1,715",765,585,214,37,56,58,70,39,94,100,"2,100",476,"3,363","3,617",49,11,53,49,846,223,91,19,12,31,32,134,255,716,111,391,232,215,51,96
Kagawa-ken,"19,863",181,22,15,89,11,18,41,116,37,90,442,553,"1,895",741,61,38,59,39,23,54,86,224,576,104,141,522,"2,223","1,428",198,66,112,128,"1,434","1,120",256,"1,301",-,"2,283","1,769",689,55,117,115,102,65,127,97,"3,631",766,"4,371","6,657",101,77,138,118,"1,398",345,227,27,32,63,32,297,351,896,136,508,818,658,101,334
Ehime-ken,"21,358",155,26,17,73,20,15,41,167,76,80,498,707,"2,141",986,52,67,71,41,40,98,141,210,693,102,200,552,"2,386","1,491",195,84,90,157,949,"1,928",398,864,"2,608",-,"1,104",843,61,142,184,274,94,138,99,"4,332",936,"4,624","7,208",63,45,110,113,"1,574",453,227,35,23,39,50,290,400,"1,021",129,532,513,990,232,369
Kochi-ken,"11,560",80,14,23,46,7,19,27,78,22,40,294,316,"1,312",490,29,18,46,33,20,51,69,157,503,109,120,351,"1,550",807,105,52,58,49,491,435,123,529,"1,214","1,124",-,360,20,67,76,68,38,64,56,"2,412",681,"2,813","3,791",31,20,50,47,954,207,125,22,6,31,43,226,254,675,111,286,284,189,62,168
Fukuoka-ken,"95,762","1,104",191,119,529,85,88,198,698,398,268,"3,133","4,030","12,470","5,855",305,151,298,129,238,300,405,"1,148","3,723",690,639,"1,446","5,939","3,095",471,181,201,416,996,"3,153","4,032",214,562,740,254,-,"6,365","6,802","7,386","6,049","3,207","5,032","2,029","25,488","4,818","10,951","60,531",483,378,906,596,"9,503","2,720","1,416",220,149,230,378,"1,683","1,023","2,082",432,993,522,"1,906","10,791","24,120"
Saga-ken,"17,494",87,21,10,39,13,12,26,88,60,46,305,312,"1,233",645,38,32,28,14,52,40,38,140,576,117,98,198,547,337,81,36,28,40,125,329,251,35,39,61,24,"7,094",-,"1,854","1,002",498,235,439,171,"2,495",731,"1,163","5,875",25,29,59,50,868,261,171,21,24,22,35,166,126,198,47,149,61,138,555,"2,870"
